Muscle Group,Exercise,Video Link (Male),Video Link (Female),Equipment,Difficulty
Triceps,Dumbbell Overhead Tricep Extension,https://musclewiki.com/dumbbells/male/triceps/dumbbell-overhead-tricep-extension,https://musclewiki.com/dumbbells/female/triceps/dumbbell-overhead-tricep-extension,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/triceps/dumbbell-overhead-tricep-extension"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/triceps/dumbbell-overhead-tricep-extension"">Female</a> Dumbbells",Beginner
Triceps,Barbell Floor Press,https://musclewiki.com/barbell/male/triceps/barbell-floor-press,https://musclewiki.com/barbell/female/triceps/barbell-floor-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/male/triceps/barbell-floor-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/female/triceps/barbell-floor-press"">Female</a> Barbell",Advanced
Triceps,Dumbbell Guillotine Incline Bench Press,https://musclewiki.com/dumbbells/male/triceps/dumbbell-guillotine-incline-bench-press,https://musclewiki.com/dumbbells/female/triceps/dumbbell-guillotine-incline-bench-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/triceps/dumbbell-guillotine-incline-bench-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/triceps/dumbbell-guillotine-incline-bench-press"">Female</a> Dumbbells",Advanced
Triceps,Dumbbell Seated Arnold Press,https://musclewiki.com/dumbbells/male/shoulders/dumbbell-seated-arnold-press,https://musclewiki.com/dumbbells/female/shoulders/dumbbell-seated-arnold-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/shoulders/dumbbell-seated-arnold-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/shoulders/dumbbell-seated-arnold-press"">Female</a> Dumbbells",Intermediate
Triceps,Dumbbell Single Arm Press,https://musclewiki.com/dumbbells/male/triceps/dumbbell-single-arm-press,https://musclewiki.com/dumbbells/female/triceps/dumbbell-single-arm-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/triceps/dumbbell-single-arm-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/triceps/dumbbell-single-arm-press"">Female</a> Dumbbells",Intermediate
Triceps,Dumbbell Neutral Overhead Press,https://musclewiki.com/dumbbells/male/shoulders/dumbbell-neutral-overhead-press,https://musclewiki.com/dumbbells/female/shoulders/dumbbell-neutral-overhead-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/shoulders/dumbbell-neutral-overhead-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/shoulders/dumbbell-neutral-overhead-press"">Female</a> Dumbbells",Novice
Triceps,Dumbbell Overhead Press,https://musclewiki.com/dumbbells/male/shoulders/dumbbell-overhead-press,https://musclewiki.com/dumbbells/female/shoulders/dumbbell-overhead-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/shoulders/dumbbell-overhead-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/shoulders/dumbbell-overhead-press"">Female</a> Dumbbells",Novice
Triceps,Dumbbell Push Press,https://musclewiki.com/dumbbells/male/shoulders/dumbbell-push-press,https://musclewiki.com/dumbbells/female/shoulders/dumbbell-push-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/shoulders/dumbbell-push-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/shoulders/dumbbell-push-press"">Female</a> Dumbbells",Intermediate
Triceps,Bosu Ball Pike Pushup,https://musclewiki.com/bosu-ball/male/shoulders/bosu-ball-pike-pushup,https://musclewiki.com/bosu-ball/female/shoulders/bosu-ball-pike-pushup,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bosu-ball/male/shoulders/bosu-ball-pike-pushup"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bosu-ball/female/shoulders/bosu-ball-pike-pushup"">Female</a> Bosu-Ball",Intermediate
Triceps,Kettlebell Guillotine Bench Press,https://musclewiki.com/kettlebells/male/triceps/kettlebell-guillotine-bench-press,https://musclewiki.com/kettlebells/female/triceps/kettlebell-guillotine-bench-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/male/triceps/kettlebell-guillotine-bench-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/female/triceps/kettlebell-guillotine-bench-press"">Female</a> Kettlebells",Intermediate
